,lat,lon,school_index,max_children,q_children
519,-19.45717,32.10598,519,620,620
520,-19.25705,31.25863,520,620,620
521,-19.13531,31.43328,521,620,620
522,-19.14818,31.69751,522,620,620
523,-19.44098,31.86691,523,620,620
524,-19.35163,31.76708,524,620,620
525,-17.5198,32.85901,525,620,620
526,-17.53414,32.8131,526,620,620
527,-17.61037,32.8489,527,620,559
528,-17.46111,32.89224,528,620,620
529,-17.31659,32.92564,529,620,620
530,-18.02452,32.66794,530,620,111
531,-18.22817,32.71377,531,620,620
532,-17.83155,32.67874,532,620,620
533,-18.08165,32.6287,533,620,147
534,-18.02051,32.60094,534,620,184
535,-17.97858,32.65032,535,620,142
536,-17.85118,32.61772,536,620,620
537,-18.07445,32.88438,537,620,404
538,-17.92065,32.89524,538,620,315
539,-17.90914,32.94351,539,620,620
540,-17.9174,32.92724,540,620,453
541,-17.87285,32.94241,541,620,620
542,-18.01999,32.9193,542,620,320
543,-18.59378,32.5451,543,620,176
544,-18.32668,32.2617,544,620,620
545,-18.47028,32.5389,545,620,398
546,-18.49743,32.45794,546,620,620
547,-18.43865,32.53901,547,620,525
548,-18.54625,32.54104,548,620,290
549,-18.52904,32.88057,549,620,317
550,-18.56786,32.8132,550,620,403
551,-18.49567,32.92079,551,620,125
552,-18.07537,32.1886,552,620,620
553,-17.99904,32.18371,553,620,620
554,-17.95063,32.17001,554,620,620
555,-17.9249,32.35421,555,620,620
556,-18.00753,32.38874,556,620,620
557,-17.90558,32.44804,557,620,620
558,-17.8278,32.55951,558,620,620
559,-18.27247,32.04822,559,620,620
560,-18.58584,32.46983,560,620,620
561,-18.52079,32.37064,561,620,620
562,-18.65519,32.4962,562,620,620
563,-18.57776,32.27498,563,620,620
564,-18.69381,32.3804,564,620,620
565,-18.61415,31.97806,565,620,620
566,-18.50523,31.98114,566,620,620
567,-18.54615,32.10433,567,620,620
568,-18.56227,31.81857,568,620,620
569,-18.92924,32.05778,569,620,620
570,-18.66191,31.83215,570,620,620
571,-18.52175,31.89246,571,620,620
572,-18.45573,32.36119,572,620,620
573,-18.43536,32.40355,573,620,620
