,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
2347,8252,MUCHEMWA,Mashonaland West,Primary,Mhondoro Ngezi,P3,-18.675851914119814,30.49457457508359
4639,14341,MAPOLISA,Matabeleland South,Primary,Insiza,P3,-20.205181914119812,29.201154575083592
3434,10774,MAKASI PRIMARY,Masvingo,Primary,Masvingo,P3,-20.338301914119814,30.84531457508359
4900,14656,PIONEER,Matabeleland South,Primary,Insiza,P3,-20.054711914119814,29.37060457508359
1385,4452,KABVUMA,Mashonaland Central,Primary,Mbire,P3,-16.295331914119814,30.47758457508359
3469,10824,TICHADYA,Masvingo,Primary,Chiredzi,P3,-21.510951914119815,31.39188457508359
3707,11102,DEMBE PRIMARY,Masvingo,Primary,Mwenezi,P3,-21.851101914119813,31.14768457508359
3570,10942,NGWANA ,Masvingo,Primary,Chiredzi,P3,-20.676831914119813,31.63601457508359
3615,11000,CHIBEPERO PRY,Masvingo,Primary,Chiredzi,P3,-20.644361914119813,32.20099457508359
4166,12559,MONDE PRIMARY,Matabeleland North,Primary,Hwange,P3,-18.020001914119813,25.833104575083592
3005,10264,ZIHWA,Masvingo,Primary,Chivi,P3,-20.523121914119812,30.49005457508359
2720,8932,BORDEN PRIMARY ,Mashonaland West,Primary,Chegutu,P3,-18.228331914119813,30.29392457508359
231,2025,CHISAMBA,Manicaland,Primary,Mutare,P2,-18.994561914119814,32.618784575083595
1819,6499,HOKONYA,Mashonaland East,Primary,Chikomba,P3,-19.046161914119814,31.10276457508359
4569,14254,MAWAZA,Matabeleland South,Primary,Gwanda,P3,-21.371151914119814,28.78864457508359
1582,6182,MUPFURURIRWA,Mashonaland East,Primary,Chikomba,P3,-19.010631914119813,31.22843457508359
3105,10364,MAJURU PRIMARY,Masvingo,Primary,Zaka,P3,-20.360091914119813,31.58933457508359
175,1251,TASIMUKIRA,Harare,Primary,Chitungwiza,P2,-18.027421914119813,31.10589457508359
4960,16096,MAZINYO ST HUGHS,Midlands,Primary,Gokwe South,P3,-18.496521914119814,28.42926457508359
4199,12595,TOBWE PRIMARY SCHOOL,Matabeleland North,Primary,Binga,P3,-18.060181914119813,27.52976457508359
4225,12658,LORTONDALE,Matabeleland North,Primary,Bubi,P3,-19.395351914119814,28.472924575083592
1989,6676,FUCHIRA,Mashonaland East,Primary,Mudzi,P3,-16.889781914119812,32.73524457508359
2078,6782,NYAMENI,Mashonaland East,Primary,Marondera,P2,-18.211431914119814,31.53038457508359
982,3047,FERN VALLEY,Manicaland,Primary,Mutare,P1,-19.038301914119813,32.64091457508359
1957,6643,MAYEMA,Mashonaland East,Primary,UMP,P3,-17.350411914119814,31.75946457508359
438,2444,ARNOLDINE,Manicaland,Primary,Makoni,P3,-18.241171914119814,32.1880745750836
1542,5221,DAMBAWIRA,Mashonaland Central,Primary,Bindura,P3,-16.993701914119814,31.233154575083592
2765,8980,SILVERMOON TAKUNDA,Mashonaland West,Primary,Mhondoro Ngezi,P3,-18.600141914119813,29.72258457508359
1173,4211,CHAPOTO,Mashonaland Central,Primary,Mbire,P3,-15.705301914119815,30.38577457508359
1692,6365,MUSANHI,Mashonaland East,Primary,UMP,P3,-17.419191914119814,31.95740457508359
188,1265,RUVHENEKO,Harare,Primary,High Glen,P2,-17.906731914119813,30.96490457508359
1755,6434,CHEMHONDORO,Mashonaland East,Primary,Murehwa,P3,-17.684431914119813,31.541614575083592
3205,10480,CHILONGA PRIMARY,Masvingo,Primary,Chiredzi,P3,-21.227921914119815,31.62860457508359
5411,16741,MANGOROHWE,Midlands,Primary,Gokwe North,P3,-17.446271914119812,29.25059457508359
4587,14274,MANDIWONGOLA,Matabeleland South,Primary,Gwanda,P3,-21.272411914119814,28.731554575083592
2970,10229,MASUNDA SOUTH,Masvingo,Primary,Chivi,P3,-20.410291914119814,30.62650457508359
2204,7079,NYAPFUNDE,Mashonaland East,Primary,Mudzi,P3,-17.338601914119813,32.617754575083595
3347,10685,CHIZUMBA,Masvingo,Primary,Mwenezi,P3,-21.120001914119815,30.56792457508359
3083,10342,NYAKUNHUWA,Masvingo,Primary,Zaka,P3,-20.386811914119814,31.21137457508359
5374,16697,GWARUSONDE,Midlands,Primary,Gokwe South,P3,-18.184481914119814,28.70664457508359
1060,3962,HANGANI,Manicaland,Primary,Chimanimani,P3,-19.720811914119814,32.82935457508359
1227,4274,CHAWARURA,Mashonaland Central,Primary,Muzarabani,P3,-16.499231914119814,31.08896457508359
